2023-09-22 17:24:18 T1:29.56, T2:22.79, T3:22.83, T4:22.72, T5:22.49, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.15, T14:nan, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:36.79, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:23 T1:29.59, T2:22.79, T3:22.79, T4:22.69, T5:22.45, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.18, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.21, F3:0.22, SR1:47.88, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:29 T1:29.59, T2:22.79, T3:22.79, T4:22.72, T5:22.45, T6:22.52, T7:22.32, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.15, T14:21.30, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:87.14, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:34 T1:29.56, T2:22.79, T3:22.79, T4:22.72, T5:22.45, T6:22.56, T7:22.32, T8:22.18, T9:22.05, T10:22.18, T11:22.18, T12:22.15, T13:22.18, T14:nan, T15:30.50, F1:0.21, F2:0.21, F3:0.21, SR1:99.24, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:40 T1:29.56, T2:22.76, T3:22.79, T4:22.72, T5:22.45, T6:22.56, T7:22.32, T8:22.18, T9:22.01, T10:22.22, T11:22.15, T12:22.15, T13:22.18, T14:21.30, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:103.94, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:45 T1:29.63, T2:22.79, T3:22.83, T4:22.72, T5:22.42, T6:22.52, T7:22.32, T8:22.18, T9:22.05, T10:22.18, T11:22.18, T12:22.12, T13:22.18, T14:8.50, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:100.71, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:51 T1:29.59, T2:22.76, T3:22.83, T4:22.72, T5:22.45, T6:22.56, T7:22.32, T8:22.18, T9:22.01, T10:22.18, T11:22.15, T12:22.12, T13:22.18, T14:21.30, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:101.95, A:1110000.00, Circ pump counter: 0
2023-09-22 17:24:56 T1:29.56, T2:22.72, T3:22.83, T4:22.72, T5:22.42, T6:22.56, T7:22.32, T8:22.18, T9:22.05, T10:22.22, T11:22.18, T12:22.12, T13:22.22, T14:21.30, T15:30.50, F1:0.22, F2:0.20, F3:0.21, SR1:112.30, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:02 T1:29.59, T2:22.72, T3:22.83, T4:22.76, T5:22.45, T6:22.56, T7:22.32, T8:22.18, T9:22.05, T10:22.22, T11:22.18, T12:22.12, T13:22.22, T14:8.50, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:107.73, A:1110000.00, Circ pump counter: 0
2023-09-22 17:25:07 T1:29.49, T2:22.76, T3:22.79, T4:22.72, T5:22.45, T6:22.59, T7:22.35, T8:22.18, T9:22.05, T10:22.22, T11:22.22, T12:22.08, T13:22.18, T14:21.30, T15:30.40, F1:0.21, F2:0.21, F3:0.21, SR1:85.94, A:1110000.00, Circ pump counter: 0
